index,rtype,sname,dname,cname,enroll12,NumTstTakr,AvgScrRead,AvgScrMath,AvgScrWrit,NumGE1500,PctGE1500,year
507,D,,Bonita Unified,Los Angeles,853,441,496,497,483,190,43.08,1516
508,S,Bonita High,Bonita Unified,Los Angeles,478,259,488,493,478,105,40.54,1516
509,S,San Dimas High,Bonita Unified,Los Angeles,320,182,508,504,489,85,46.7,1516
510,D,,Burbank Unified,Los Angeles,1584,635,521,523,511,352,55.43,1516
511,S,Burbank High,Burbank Unified,Los Angeles,582,284,530,544,520,172,60.56,1516
512,S,Burroughs High,Burbank Unified,Los Angeles,616,322,517,512,506,169,52.48,1516
513,S,Monterey High (Continuation),Burbank Unified,Los Angeles,124,3,,,,,,1516
514,S,Options for Youth-Burbank Charter,Burbank Unified,Los Angeles,231,25,482,457,468,9,36,1516
515,D,,Centinela Valley Union High,Los Angeles,1794,742,407,407,405,84,11.32,1516
516,S,Centinela Valley Independent Study,Centinela Valley Union High,Los Angeles,81,0,,,,,,1516
517,S,Family First Charter,Centinela Valley Union High,Los Angeles,93,0,,,,,,1516
518,S,New Opportunities Charter,Centinela Valley Union High,Los Angeles,37,0,,,,,,1516
519,S,R. K. Lloyde High,Centinela Valley Union High,Los Angeles,137,1,,,,,,1516
520,S,Hawthorne High,Centinela Valley Union High,Los Angeles,455,159,412,406,419,21,13.21,1516
521,S,Lawndale High,Centinela Valley Union High,Los Angeles,586,353,410,405,406,38,10.76,1516
522,S,Leuzinger High,Centinela Valley Union High,Los Angeles,390,229,399,409,394,25,10.92,1516
523,D,,Charter Oak Unified,Los Angeles,485,274,465,486,451,91,33.21,1516
524,S,Charter Oak High,Charter Oak Unified,Los Angeles,408,274,465,486,451,91,33.21,1516
525,S,Oak Knoll Alternative,Charter Oak Unified,Los Angeles,18,0,,,,,,1516
526,D,,Claremont Unified,Los Angeles,562,354,529,537,526,217,61.3,1516
527,S,Claremont High,Claremont Unified,Los Angeles,522,354,529,537,526,217,61.3,1516
528,D,,Covina-Valley Unified,Los Angeles,1141,1088,416,426,412,225,20.68,1516
529,S,Fairvalley High (Continuation),Covina-Valley Unified,Los Angeles,87,78,315,305,313,1,1.28,1516
530,S,Covina High,Covina-Valley Unified,Los Angeles,306,292,416,429,409,58,19.86,1516
531,S,Northview High,Covina-Valley Unified,Los Angeles,314,308,405,414,401,43,13.96,1516
532,S,South Hills High,Covina-Valley Unified,Los Angeles,434,410,443,457,441,123,30,1516
533,D,,Culver City Unified,Los Angeles,507,301,515,512,500,150,49.83,1516
534,S,Culver City High,Culver City Unified,Los Angeles,481,301,515,512,500,150,49.83,1516
535,D,,Downey Unified,Los Angeles,2020,981,464,469,450,300,30.58,1516
536,S,Downey High,Downey Unified,Los Angeles,992,517,463,467,450,151,29.21,1516
537,S,Warren High,Downey Unified,Los Angeles,855,464,464,471,451,149,32.11,1516
538,D,,Duarte Unified,Los Angeles,327,120,466,463,446,37,30.83,1516
539,S,Opportunities for Learning - Duarte,Duarte Unified,Los Angeles,82,17,408,397,422,1,5.88,1516
540,S,Duarte High,Duarte Unified,Los Angeles,220,103,475,474,449,36,34.95,1516
541,D,,El Monte Union High,Los Angeles,2326,1048,443,467,441,278,26.53,1516
542,S,Arroyo High,El Monte Union High,Los Angeles,515,251,464,485,459,86,34.26,1516
543,S,El Monte High,El Monte Union High,Los Angeles,438,232,427,455,429,48,20.69,1516
544,S,Mountain View High,El Monte Union High,Los Angeles,336,145,424,432,417,20,13.79,1516
545,S,Rosemead High,El Monte Union High,Los Angeles,421,251,474,509,472,109,43.43,1516
546,S,South El Monte High,El Monte Union High,Los Angeles,330,169,406,428,407,15,8.88,1516
547,D,,El Rancho Unified,Los Angeles,740,375,437,457,422,78,20.8,1516
548,S,El Rancho High,El Rancho Unified,Los Angeles,611,375,437,457,422,78,20.8,1516
549,D,,El Segundo Unified,Los Angeles,343,227,524,516,513,128,56.39,1516
550,S,Arena High (Continuation),El Segundo Unified,Los Angeles,13,2,,,,,,1516
551,S,El Segundo High,El Segundo Unified,Los Angeles,330,225,523,516,512,127,56.44,1516
552,D,,Glendale Unified,Los Angeles,2167,910,532,566,536,605,66.48,1516
553,S,Crescenta Valley High,Glendale Unified,Los Angeles,674,427,560,595,569,325,76.11,1516
554,S,Daily (Allan F.) High (Continuation),Glendale Unified,Los Angeles,157,1,,,,,,1516
555,S,Glendale High,Glendale Unified,Los Angeles,639,221,494,524,488,109,49.32,1516
556,S,Herbert Hoover High,Glendale Unified,Los Angeles,391,111,508,538,506,68,61.26,1516
557,S,Verdugo Academy,Glendale Unified,Los Angeles,19,3,,,,,,1516
558,S,Anderson W. Clark Magnet High,Glendale Unified,Los Angeles,255,147,526,566,535,99,67.35,1516
559,D,,Glendora Unified,Los Angeles,588,303,532,554,522,209,68.98,1516
560,S,Glendora High,Glendora Unified,Los Angeles,552,303,532,554,522,209,68.98,1516
561,D,,Gorman Elementary,Los Angeles,219,36,507,484,481,16,44.44,1516
562,S,Gorman Learning Center,Gorman Elementary,Los Angeles,219,36,507,484,481,16,44.44,1516
563,D,,Hawthorne,Los Angeles,120,118,488,512,494,60,50.85,1516
564,S,Hawthorne Math and Science Academy,Hawthorne,Los Angeles,120,118,488,512,494,60,50.85,1516
565,D,,Inglewood Unified,Los Angeles,811,443,412,407,401,59,13.32,1516
566,S,Inglewood High,Inglewood Unified,Los Angeles,283,155,390,376,374,9,5.81,1516
567,S,Morningside High School,Inglewood Unified,Los Angeles,239,120,383,367,373,3,2.5,1516
568,S,City Honors College Preparatory Academy,Inglewood Unified,Los Angeles,63,58,441,409,423,10,17.24,1516
569,S,Animo Inglewood Charter High,Inglewood Unified,Los Angeles,137,110,460,494,458,37,33.64,1516
570,D,,La Canada Unified,Los Angeles,346,239,601,632,597,208,87.03,1516
